director,director_score
Quentin Tarantino,5
David Fincher,5
Penelope Spheeris,5
Roland Emmerich,5
Fran Rubel Kuzui,1
Kenny Ortega,5
Peter Jackson,5
Brett Leonard,0
Les Mayfield,5
Edward James Olmos,0
Robert Rodriguez,5
Bill Kroyer,1
Ernest R. Dickerson,1
Rémy Belvaux,1
Jon Turteltaub,5
David Price,1
Baz Luhrmann,5
Sally Potter,1
Tony Maylam,0
Phil Roman,0
Geoffrey Wright,1
Manny Coto,1
Carl Franklin,1
Eugene Levy,0
Stanley Tong,5
Bruce W. Smith,1
Alfonso Arau,1
Randall Miller,1
Régis Wargnier,1
Bruce A. Evans,1
Dale Launer,1
Stephen Milburn Anderson,0
Brian Henson,1
Claude Sautet,1
Ryû Murakami,1
Clarence Fok,0
Chris Menges,0
Fernando Trueba,1
Tom Kalin,0
Tim Robbins,0
Darrell Roodt,1
Roeland Kerbosch,0
Alexandre Rockwell,1
Craig Bolotin,1
Allison Anders,1
Martin Bell,0
Arnaud Desplechin,0
Nicole Conn,0
Arne Glimcher,1
Gillies MacKinnon,0
Barnet Kellman,1
Ming-liang Tsai,1
Billy Crystal,1
Ringo Lam,0
Gregg Araki,1
Tamra Davis,5
Jean-Claude Lauzon,1
Anthony Drazan,0
Djibril Diop Mambéty,1
Nick Gomez,0
Shin'ya Tsukamoto,0
Andy Wolk,1
Mark Frost,1
Arthur Allan Seidelman,0
Vincent Ward,0
Neal Jimenez,0
Nora Ephron,5
Barry Primus,1
Charlie Peters,1
Mark Herman,1
Colin Nutley,1
Hark Tsui,0
Jacques Dorfmann,1
David Mickey Evans,5
Robert De Niro,0
Marco Brambilla,0
Henry Selick,5
Daniel Stern,1
Albert Hughes,5
Duwayne Dunham,1
John Woo,5
Dominic Sena,5
Alan Shapiro,1
Gene Quintano,1
Mark Jones,1
Brian Yuzna,0
Steven Zaillian,0
Adam Marcus,1
Roger Avary,1
Guillermo del Toro,5
Stephen Surjik,1
Jennifer Lynch,0
Joseph Vilsmaier,1
Rob Bowman,5
George Sluizer,1
Andrew Birkin,1
Tom Stern,0
Thomas Carter,5
Fraser C. Heston,1
Victor Nunez,1
Mel Gibson,5
Kaige Chen,1
Luis Llosa,5
Robert Klane,1
Jean-Marie Poiré,0
Stephen Sommers,5
Nicholas Kazan,1
Bruce Joel Rubin,1
John Whitesell,5
Mike Binder,1
Charles Grosvenor,0
Richard Williams,0
Anh Hung Tran,1
Woo-Ping Yuen,1
Sang-ok Shin,1
Christopher Coppola,0
Mikael Salomon,0
Ang Lee,5
Patrick Hasburgh,0
Scott McGehee,1
Jay Craven,1
Leon Ichaso,1
Nanni Moretti,1
Marshall Herskovitz,1
Daniel Algrant,1
Kirk Wong,1
Michael Steinberg,0
Michael Lessac,1
Gurinder Chadha,5
Sam Shepard,1
E. Max Frye,1
Robert Young,1
Yves Simoneau,0
Stephen Cornwell,0
Rusty Cundieff,1
Billy Weber,0
John Madden,5
Warren Leight,0
Frank Darabont,5
Roger Allers,5
Jan de Bont,5
Peter Farrelly,5
Alex Proyas,5
Tom Shadyac,5
Steven E. de Souza,5
Sam Weisman,5
Kevin Smith,5
Jonathan Prince,1
Stephan Elliott,1
David Carson,5
Ben Stiller,5
Peter Segal,5
Kim Henkel,0
P.J. Hogan,5
Rupert Wainwright,5
Lee Tamahori,5
John Pasquin,5
Pixote Hunt,0
Danny Boyle,5
Jeremy Leven,1
James Yukich,0
Hart Bochner,1
Nicholas Hytner,0
Betty Kaplan,1
Jeff Pollack,1
Alek Keshishian,1
Andrew Scheinman,1
Steven Seagal,0
Patrice Chéreau,1
David O. Russell,5
Chia-Liang Liu,1
Nancy Meckler,1
Richard Rich,0
Adam Rifkin,0
Jefery Levy,1
Doug McHenry,1
Andrew Morahan,0
Michele Soavi,0
Stephen Norrington,5
Adam Resnick,0
Caroline Thompson,1
Charles Haid,1
Allan A. Goldstein,0
Jessie Nelson,5
Ted Demme,1
Charles T. Kanganis,0
Adam Bernstein,1
John Bailey,0
James Gray,1
Boaz Yakin,5
Stuart Orme,1
Iain Softley,5
Eric Meza,1
Rory Kelly,1
Michael Austin,1
George Huang,0
Gary Jones,0
Tia Brelis,1
Gérard Corbiau,1
Antonia Bird,1
Milcho Manchevski,0
John Roberts,1
Geoff Burton,1
Matty Rich,1
Xavier Koller,0
Kelly Reichardt,1
Bryan Singer,5
Larry Clark,1
John Lasseter,5
Paul W.S. Anderson,5
F. Gary Gray,5
Scott Kalvert,0
Michael Bay,5
Bryan Spicer,1
Mathieu Kassovitz,5
Brad Silberling,5
Beeban Kidron,5
Steven Brill,5
Lesli Linka Glatter,1
Mike Gabriel,5
Kevin Lima,5
John N. Smith,5
Mamoru Oshii,1
Chris Noonan,5
Betty Thomas,5
Robert Longo,0
Danny Cannon,1
Victor Salva,5
Gregory Widen,1
Steve Oedekerk,5
Holly Goldberg Sloan,1
Joe Chappelle,1
Andy Tennant,5
Melanie Mayron,1
Forest Whitaker,5
Todd Solondz,1
Noah Baumbach,1
Patricia Rozema,1
