star,star_score
Fanny Ardant,1
Jimmy Smits,1
Jack Mulcahy,1
Cameron Diaz,5
Daniel Stern,1
Lili Taylor,1
Marisa Paredes,1
Steven Weber,1
Charlie Talbert,1
Parker Posey,0
Sinbad,1
Ian Hart,1
Laurel Holloman,1
Max Grodénchik,0
Shar-Ron Corley,0
Sergio Castellitto,1
Virginie Ledoyen,1
Sarah Jessica Parker,5
Willeke van Ammelrooy,1
Kadeem Hardison,1
Michael Jordan,5
Neve Campbell,5
William H. Macy,5
Ewan McGregor,5
Helen Hunt,5
Matthew McConaughey,5
Robin Tunney,1
Mark Wahlberg,5
Luke Wilson,1
Jennifer Tilly,1
Billy Bob Thornton,5
Vince Vaughn,5
Shawn Wayans,5
Philip Baker Hall,0
Tony Shalhoub,1
Jada Pinkett Smith,1
Paul Terry,0
Gwyneth Paltrow,5
Naveen Andrews,1
Kim Bodnia,1
Christopher Guest,1
Timothy Spall,1
Mike Judge,1
Pamela Anderson,0
Emily Watson,1
Teri Hatcher,1
Shaquille O'Neal,0
Kelsey Grammer,5
Edward Burns,0
Geoffrey Rush,5
Michelle Trachtenberg,5
Dennis Miller,0
Vincent Perez,1
Jeffrey Wright,5
Tim Curry,5
Bruce Ramsay,1
Scarlett Johansson,5
Glen Berry,1
Christopher Eccleston,0
Michael J. Pollard,0
Maggie Cheung,1
Hedy Burress,1
Ben Stiller,5
Jerry O'Connell,0
Melvil Poupaud,1
Giovanni Ribisi,1
Jason Alexander,1
Tom Arnold,0
Hope Davis,1
Martin Lawrence,5
Molly Parker,1
Vincent D'Onofrio,0
Greg Kinnear,5
David Schwimmer,1
Vivian Wu,1
Samuel L. Jackson,5
Theresa Randle,0
Dave Foley,1
Jon Lovitz,1
Steven Soderbergh,0
Colm Meaney,0
Robin Wright,0
Blake Heron,1
Ellen DeGeneres,5
Daniel Bernhardt,1
Jermaine Hopkins,1
Illeana Douglas,0
Matt LeBlanc,0
Casper Van Dien,1
