writer,writer_score
David Robert Mitchell,1
Ivan Menchell,5
Ryan J. Condal,5
Michael Mitnick,1
Jordan Roberts,5
James Lapine,5
Gary Dauberman,5
Anthony McCarten,5
Dan Sterling,0
Dennis Lehane,1
Andrew Jay Cohen,5
Jennifer Kent,1
Melissa K. Stack,5
Germán Servidio,1
Josh Appelbaum,5
Joshua Zetumer,5
Richelle Mead,0
Phil Graziadei,0
Dean DeBlois,5
George Gatins,5
Paul King,5
John W. Richardson,5
Jonathan Tropper,1
John Swetnam,5
Michael Colton,5
Adam Cozad,5
Xavier Dolan,0
Vera Brittain,1
Jorge R. Gutiérrez,1
Veronika Franz,1
Michael Finch,1
Matt Sazama,5
Nelson Greaves,5
Jack Paglen,1
David Flebotte,1
Margaret Nagle,0
Janet Scott Batchler,1
James McFarland,1
Greg Coolidge,5
Tom Gormican,1
Tommy Lee Jones,0
Dennis Kelly,1
Chad Kultgen,0
Luke Greenfield,5
Bart De Pauw,0
Carlyle Eubank,0
Bruce Wagner,0
Louise Stratten,1
Gregory Burke,1
Richard Glatzer,5
Justin Benson,1
Oren Moverman,1
Christina Welsh,1
Andrew Knight,1
Paul Webb,1
Rob Thomas,0
Justin Lader,1
Scott Rothman,1
Patrick Tobin,0
James Bobin,1
Mark Hammer,1
Julius Avery,1
Paul Lalonde,1
Rob Lieber,5
Theodore Melfi,5
Sean Hood,0
Hunter Dennis,5
Joan G. Robinson,1
Melissa McCarthy,5
Jalmari Helander,1
Ruben Östlund,1
Ryan Gosling,0
Will Collins,1
Maria von Heland,1
Al Kaplan,1
Stephen Zotnowski,0
Aimee Lagos,1
Oleg Negin,1
Christopher Kyle,0
Peter Strickland,0
Adam J. Braff,0
Ebru Ceylan,1
Justin Simien,1
Arielle Holmes,1
Julia Hart,1
Roberts Gannaway,5
Ramin Bahrani,0
Adriana Trigiani,1
Andrea Seigel,0
Taylor Sheridan,5
Robert Eggers,5
Emma Donoghue,1
Josh Singer,5
Yorgos Lanthimos,1
Melissa Rauch,0
Morgan Davis Foehl,0
Paul Feig,5
Jeremy Slater,1
J. Mills Goodloe,5
Mark Mallouk,1
Marc Abraham,0
Brian Lynch,5
Carlton Cuse,5
Amy Schumer,5
Damon Lindelof,1
Matt Charman,5
Brian Duffield,5
Jonathan Herman,5
Phyllis Nagy,1
Barbara Curry,1
Kurt Sutter,5
Rosalie Ham,1
T.S. Nowlin,5
Sanyuan Peng,1
Bob Peterson,5
Thomas Hardy,1
Joel Edgerton,5
Jay Martel,5
Doug Ellin,1
Carrie Lee Wilson,1
Ilya Naishuller,1
Chris Bowman,1
Jason Fuchs,0
Bryan Sipe,1
Todd Louiso,1
Brian Burns,5
Josh A. Cagan,1
John McNamara,0
Robert Smigel,5
Tim Talbott,1
Vijayendra Prasad,5
Paula Pell,5
John Kåre Raake,1
Hannes Holm,1
Jesse Andrews,1
Phoebe Gloeckner,0
Deniz Gamze Ergüven,1
Catherine Corsini,1
Oz Perkins,1
Jeethu Joseph,0
Hajime Isayama,1
Alexi Kaye Campbell,1
Simon Kelton,1
Guy Hibbert,1
Sean Mewshaw,1
Max Joseph,1
Nagnath S. Inamdar,1
Angelina Jolie,0
Eric Aronson,0
Brett Haley,1
John Scott 3,1
Jason Pagan,1
Rupert Goold,1
Matt Brown,1
Nissar Modi,0
Nathan Parker,0
Martin Zandvliet,1
David Feeney,1
Todd Casey,1
Robert Bolesto,1
Jean-Patrick Manchette,0
Michael Polish,0
Edoardo Albinati,1
Craig Schulz,5
Ross Bagdasarian,5
Mikko Alanne,1
Irena Brignull,1
Chris Lofing,1
David Farr,1
Matt Bettinelli-Olpin,1
Paul Gross,1
John Maclean,0
Donald Margulies,1
Jon Watts,0
Simon Stone,1
Ryan Landels,0
Apichatpong Weerasethakul,1
Brian Bird,1
Rachel Boynton,0
Anouk Whissell,1
Patrick Brice,1
Laura Terruso,1
László Nemes,1
Mitch Cullin,1
Se-hee Kim,1
Benjamin August,1
Daniel Lee,5
Jojo Moyes,5
Nikolai Leskov,1
Jared Bush,5
Byron Howard,5
Evan Spiliotopoulos,1
Robert Schenkkan,5
Sarah Waters,1
Chuck Hogan,1
Tom Ford,1
Makoto Shinkai,5
Nicolas Wright,5
Julia Ducournau,1
Ransom Riggs,5
Joo-Suk Park,5
Douglas Cook,1
Allison Schroeder,5
Kyle Hunter,5
Bill Dubuque,5
Barry Jenkins,5
Ike Barinholtz,5
Stephen Chin,1
Dan Brown,5
Jonathan Perera,0
Josh Campbell,5
Saroo Brierley,5
Deon Taylor,1
Kieran Fitzgerald,0
Piyush Gupta,5
Ana Lily Amirpour,0
Matt Cook,1
Seth W. Owen,1
Ellen Furman,0
Kelly Fremon Craig,1
John Phillips,5
Daniel Scheinert,1
Carlo Bernard,5
Stacey Menear,5
August Wilson,1
Andy Samberg,0
Ivan Sen,1
Michael Lesslie,5
Elizabeth Wood,1
Andrew Baldwin,0
Brian Reindl,0
Anna Biller,1
Jessica Sharzer,5
Simon Carmody,1
Christy Beam,5
Jeremy Gillespie,1
Simon Burke,1
Lew Wallace,0
Patrick Massett,0
Jordan Peele,5
Patrick Ness,1
Marc Haimes,1
T.J. Fixman,0
Zack Kahn,1
Nicholas Martin,1
Brian Azzarello,1
Eric Summer,5
Amat Escalante,1
Sean Conway,0
Nick Antosca,1
Jim Strouse,0
Maren Ade,1
Lissa Evans,1
Ben Fountain,0
Robert Carlock,0
Radhika Rao,1
Takashi Hasegawa,1
Susan McMartin,1
Jonathan Jakubowicz,0
Deborah Lipstadt,0
Kara Holden,1
Shoojit Sircar,1
Babak Anvari,1
Ash Brannon,0
Joe Shrapnel,0
Sarah Adina Smith,1
Simon Aboud,1
Sabrina B. Karine,1
Eric Pearson,5
Tom O'Connor,5
Chase Palmer,5
Jenny Bicks,5
Michael Berk,5
James Ivory,1
Hallie Meyers-Shyer,1
Lee Unkrich,5
Allan Heinberg,5
Sebastián Lelio,1
Michael Pearce,1
Michael Green,5
Greta Gerwig,5
Jules Asner,1
Niall Leonard,5
Scott Lobdell,5
Art Marcum,5
Ronald Bronstein,0
Robert Festinger,1
Pierre Christin,1
Stephen Schiff,1
Armando Iannucci,1
Tom Flynn,1
Jon Hartmere,5
Gary Spinelli,5
James Ponsoldt,1
Brian Fee,5
Lucia Aniello,1
Rick Rosner,1
Robert L. Baird,5
Sean Flynn,0
Emily V. Gordon,5
Cory Finley,0
Coralie Fargeat,1
Jo Nesbø,1
Johannes Roberts,5
Liz Hannah,5
Paul China,1
Logan Sparks,1
Trey Edward Shults,1
Tony Leondis,5
David Branson Smith,1
Christina Hodson,5
Dorota Kobiela,1
Francis Lee,1
Gregg Hurwitz,0
Ronnie Sandahl,1
Mark Felt,1
W. Bruce Cameron,5
Kogonada,1
Giovanni Boccaccio,1
Eskil Vogt,1
Chloé Zhao,1
Marc Meyers,1
Brendan O'Brien,0
Angela Workman,1
Alex McAulay,1
Jeremy Haft,1
Robert Schwentke,1
John Pollono,0
Roger Michell,1
Yu-na Eom,5
Ash Avildsen,1
Stacey Harman,5
Justin Chon,1
Brian Selznick,1
Fatih Akin,1
Van Robichaux,1
Dwain Worrell,1
Michael Zadoorian,1
Ron Hall,0
Meghan McCarthy,5
Justin Malen,1
Knate Lee,1
Jeff Kinney,1
Jeremy Dyson,1
Alex von Tunzelmann,1
Eliza Hittman,1
Emma Jensen,1
Barbara Marshall,1
Ben Collins,1
Hiroaki Samura,1
Simon Reade,1
Michael Koskoff,0
Robin Campillo,1
Jo-yun Hwang,1
Mike Makowsky,1
Byeong-sik Jung,1
Philippa Goslett,1
Franck Khalfoun,1
Andrea Gyertson Nasfell,1
Jonathan Penner,1
Ho-min Ju,5
Bryan Woods,5
Ari Aster,5
Darcey Bell,5
Jeff Pinkner,5
Nick Vallelonga,5
Charlie Wachtel,5
Andy Weiss,0
Kenji Bando,1
Bo Burnham,1
Dario Argento,0
Deborah Davis,5
Semi Chellas,0
Byron Willinger,5
Lindsay Shapero,1
Ben Chandler,0
Nadine Labaki,5
Aaron Kandell,1
Becky Albertalli,1
P.L. Travers,5
Genndy Tartakovsky,5
Graham Roland,1
Ted Tally,1
Susanna Fogel,1
Beau Willimon,1
Phil Johnston,5
Geneva Robertson-Dworet,5
David Lagercrantz,0
Juel Taylor,5
Ryan Engle,5
Jonah Hill,0
Chad St. John,1
Jungmi Oh,1
Aneesh Chaganty,5
Brian Kehoe,5
Matthew Orton,0
Rafael Casal,1
David Birke,1
Bill Holderman,5
Crispian Mills,1
Boots Riley,1
Steven S. DeKnight,5
Chad Hodge,1
Michael Reisz,5
Daniele Sebastian Wiedenhaupt,1
Matt Leslie,1
Joe Penna,1
Roberta Hanley,0
Arijit Biswas,5
John Collee,1
Bart Layton,1
John Bellairs,5
Leo Rossi,0
A.A. Milne,5
Mark Kruger,1
Desiree Akhavan,1
Helen Edmundson,1
John Callahan,1
Garrard Conley,1
Paul Dano,1
Bethany Ashton Wolf,1
Daniel Stiepleman,1
Yoru Sumino,1
Brandon Boyce,1
Anthony Tambakis,1
Sam Levinson,0
Ashleigh Powell,5
Steve Galluccio,1
Todd Berger,0
Kevin Hart,5
Dennis Magnusson,1
Seth M. Sherwood,1
Arash Amel,1
Jay Longino,1
Nicole Taylor,1
Brian Sieve,1
Martin Amis,1
Tom Vaughan,1
Dorothy Blyskal,1
John Altschuler,0
Evgenia Peretz,1
Gustav Möller,1
Brady Corbet,1
Teresa Sutherland,1
Becca Gleason,1
Joe Chappelle,1
Miguel Arteta,1
Blake Harris,1
Prakash Kapadia,5
Jeff Pope,1
Alex Tse,1
Bart Millard,5
Kim Nguyen,1
Akira Toriyama,5
Alice Johnson Boher,1
Jonathan Baker,0
Pella Kagerman,1
Kôhei Horikoshi,1
Ken Aguado,1
Stephen Merchant,1
Christine Leunens,5
Henry Gayden,5
Sam Mendes,5
Guy Busick,5
Andrew Cosby,1
Emily Halpern,1
Robin Bissell,1
Matt Holloway,5
Tyler Nilson,5
Lee Eisenberg,5
Scotty Landes,5
Mikki Daughtry,5
Frank Baldwin,1
Michael Rasmussen,5
Matthew Cirulnick,1
Mindy Kaling,1
Matt Lieberman,5
Micah Fitzerman-Blue,1
Dan Hernandez,5
Jimmie Fails,1
Erica Beeney,0
Dan Hageman,5
Peter Ackerman,5
Ernest Riera,1
Riley Stearns,1
Vincent D'Onofrio,0
Tyler Burton Smith,1
J.C. Lee,1
Joanna Hogg,1
Lulu Wang,1
Peter Hutchings,1
Tripper Clancy,1
Sarfraz Manzoor,1
Edmond Wong,5
Jill Culton,5
Erin Cardillo,1
Malik Bader,1
Alison Peck,0
David Gleeson,0
Lee Cronin,1
Paul Downs Colaizzo,1
Bart Freundlich,1
Gareth Dunnet-Alcocer,1
Sanjeev Dutta,1
Won-Tae Lee,1
Fred Durst,0
Laure de Clermont-Tonnerre,1
Joey O'Bryan,0
Gong Geer,5
Dan Benamor,0
Joyce Smith,1
Zara Hayes,1
Tracy Oliver,1
Yu Yang,5
Justin Monjo,1
Zoya Akhtar,1
John Swab,1
Se-yeong Bae,5
Noble Jones,1
Robert Krantz,1
Sudip Sharma,1
R. Balki,1
Melanie Martinez,0
Ritesh Shah,1
Sujeeth,1
Sang-Geun Lee,5
Van Ling,1
Britt Poulton,1
Abby Johnson,1
Arshad Sayed,1
Joo-hwan Kim,1
Rohan Shankar,1
Surabhi Bhatnagar,1
Lucio Castro,1
Alex Ranarivelo,1
Gorô Taniguchi,1
Jen Tullock,1
John Bunyan,1
Eddie Mensore,0
Alice Austen,1
Robbie Grewal,1
Le-Van Kiet,1
Shelly Chopra Dhar,1
Roxanne Benjamin,1
Chao Wang,5
Su-jin Park,1
Mark Bramble,1
Noel Ashman,0
Andy Golub,0
Rich Christiano,1
Jung Da-Won,1
Drew Cullingham,1
T.C. Christensen,1
Adam Prince,1
Yonggan Yu,5
Paritosh Painter,1
Lee Stanley,1
Claudio Herrera,1
Cat Kwan,5
Noo-ri Park,1
Marie Kreutzer,1
Wanggo Gallaga,0
Andrew E. Matthews,1
Carlo Zen,1
Cory Brusseau,1
Hu Guan,5
Antoinette Jadaone,1
Raj Kumar Gupta,1
Koon-Nam Lui,1
Tim Ogletree,1
Jeffrey Nicholson,1
David Stuart Snell,0
Monia Chokri,1
Scott Teems,1
Keith Brooks,0
Scott Pryor,1
Ji Zhang,1
Dekoven Riggins,0
Kevin Shulman,1
Stefan C. Schaefer,0
C.E. Poverman,0
Aleks Alifirenko Jr.,0
Joseph Ebanks,0
Lisa Huston,0
Lynno Lovert,0
James Randall,0
Pereko Mosia,0
